make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
CHEVROLET,Agile,1.4L ECONOFLEX 5AT FWD (102 HP),2013,2016,,,,,1389,4,,,101,75,132,,,AUTOMATIC,5,FWD,,,,,,,,54,,,,3995,1684,1539,2543,1055,,326,,185/60 R15,,Ventilated Discs,Drums,,,
CHEVROLET,Agile,1.4L ECONOFLEX 5AT FWD (97 HP),2013,2016,,,,,1389,4,,PETROL,96,71.3,129,,,AUTOMATIC,5,FWD,,,,,,,,54,,,,3995,1684,1539,2543,1055,,326,,185/60 R15,,Ventilated Discs,Drums,,,
CHEVROLET,Agile,1.4L ECONOFLEX 5MT FWD (102 HP),2013,2016,,,,,1389,4,,,101,75,132,,,MANUAL,5,FWD,,,,,,,,54,,,,3995,1684,1539,2543,1055,,326,,185/60 R15,,Ventilated Discs,Drums,,,
CHEVROLET,Agile,1.4L ECONOFLEX 5MT FWD (97 HP),2013,2016,,,,,1389,,,PETROL,96,71.3,129,,,MANUAL,5,FWD,,,,,,,,54,,,,3995,1684,1539,2543,1055,,326,,185/60 R15,,Ventilated Discs,Drums,,,
CHEVROLET,Astro,4.3L V6 4AT AWD (190 HP),1994,2005,,,,,4300,6,,PETROL,190,142,339,,,AUTOMATIC,4,,12,180,112,16,14.7,15.7,12.4,,,,,4821,1969,1902,2824,2015,,4783,,215/75 R 15,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Astro,4.3L V6 4AT RWD (190 HP),1994,2005,,,,,4300,6,,PETROL,190,142,339,,,AUTOMATIC,4,RWD,11.3,185,115,18,13.1,14.7,11.8,,,,,4821,1969,1902,2824,1960,,4783,,215/75 R 15,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Avalanche,5.3L V8 4AT AWD (285 HP),2001,2006,,,,,5328,8,,PETROL,285,212.5,441,,,AUTOMATIC,4,RWD,,,,15,15.7,18.1,14.7,143,,,,5631,2027,1869,3302,2480,,1512,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Avalanche,5.3L V8 4AT RWD (285 HP),2001,2006,,,,,5328,8,,PETROL,285,212.5,441,,,AUTOMATIC,4,RWD,,,,16.6,14.2,16.4,11.5,143,,,,5631,2027,1869,3302,2466,,1512,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Avalanche,8.1L V8 4AT AWD (340 HP),2001,2006,,,,,8128,8,,PETROL,340,253.5,624,,,AUTOMATIC,4,,,,,10,23.5,,,143,,,,5631,2027,1869,3302,2930,,1512,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Avalanche,8.1L V8 4AT RWD (340 HP),2001,2006,,,,,8128,8,,PETROL,340,253.5,624,,,AUTOMATIC,4,RWD,,,,11,21.4,,,143,,,,5631,2027,1869,3302,2883,,1512,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
CHEVROLET,Avalanche SUT,5.3L V8 4AT AWD (320 HP),2006,2013,,,,,5328,8,,,320,238.6,454,,,AUTOMATIC,4,,,,,13,,18.1,13.1,143,,,,5621,2009,1946,3302,2520,,1529,,265/70 R17,,Discs,Discs,,,
CHEVROLET,Avalanche SUT,5.3L V8 4AT RWD (320 HP),2006,2013,,,,,5328,8,,PETROL,320,238.6,454,,,AUTOMATIC,4,RWD,,,,14,,16.8,12.4,143,,,,5621,2009,1946,3302,2485,,1529,,265/70 R17,,Discs,Discs,,,
CHEVROLET,Avalanche SUT,5.3L V8 6AT RWD (320 HP),2006,2013,,,,,5328,8,,PETROL,320,238.6,454,,,AUTOMATIC,6,RWD,,,,14,,16.8,11.8,143,,,,5621,2009,1946,3302,2498,,1529,,265/70 R17,,Discs,Discs,,,
CHEVROLET,Avalanche SUT,6.0L V8 4AT RWD (365 HP),2006,2013,,,,,5967,8,,PETROL,365,272.2,515,,,AUTOMATIC,4,RWD,,,,,,,,143,,,,5621,2009,1946,3302,2495,,1529,,265/70 R17,,Discs,Discs,,,
