make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
FORD,2010Ford Taurus,3.5L V6 Duratec 6AT (263 HP),,,,,,,3496,6,,PETROL,263,196,338,,,AUTOMATIC,6,FWD,7.2,214,133,22,10.7,13.1,8.4,71,,,,5154,1935,1542,2868,1821,,569,,235/60 R17,,Ventilated Discs,Discs,,,
FORD,2010Ford Taurus,3.5L V6 Duratec 6AT AWD (263 HP),,,,,,,3496,6,,PETROL,263,196,338,,,AUTOMATIC,6,,7.4,211,131,20,11.8,13.8,9.4,71,,,,5154,1935,1542,2868,1916,,569,,235/60 R17,,Ventilated Discs,Discs,,,
FORD,Anglia 100E,1.2L 3MT (36 HP),1953,1959,,,,,1172,4,,PETROL,36,26.8,72,,,MANUAL,3,RWD,31,114,71,35,6.7,,,,,,,3843,1537,1506,2210,737,,300,,5.20 - 13,,Drums,Drums,,,
FORD,Anglia 105E,1.0L 4MT (39 HP),1959,1967,,,,,997,4,,PETROL,38,28.7,75,,,MANUAL,4,RWD,26.5,121,75,29.4,8,,,,,,,3899,1455,1394,2299,737,,300,,5.20 - 13,,Drums,Drums,,,
FORD,Bronco,2.8L 3MT AWD (89HP),1966,1977,,,,,2781,6,,PETROL,89,66.4,198,,,MANUAL,3,,20,129,80,14,16.8,,,,,,,3863,1748,1814,2337,1450,,,,7.35 - 15,,Ventilated Discs,Drums,,,
FORD,Bronco,3.3L 3MT AWD (84 HP),1966,1977,,,,,3277,6,,PETROL,84,62.6,205,,,MANUAL,3,,20,126,78,13,18.1,,,,,,,3863,1748,1806,2337,1524,,,,6.50 - 16,,Ventilated Discs,Drums,,,
FORD,Bronco,4.2L V8 4MT AWD (119 HP),1980,1986,,,,,4183,6,,PETROL,117,87.5,262,,,MANUAL,4,,,,,,,,,95,,,,4511,1961,1852,2659,1970,,,,235/75 R15,,Discs,Drums,,,
FORD,Bronco,4.7L V8 3MT AWD (150 HP),1966,1977,,,,,4727,8,,PETROL,150,111.9,328,,,MANUAL,3,,11,154,96,12.4,19,,,,,,,3863,1748,1859,2337,1550,,,,6.50 - 16,,Ventilated Discs,Discs,,,
FORD,Bronco,4.9L 3AT AWD (122 HP),1980,1986,,,,,4916,6,,PETROL,120,89.7,339,,,AUTOMATIC,3,,,,,,,,,95,,,,4511,1961,1852,2659,,,,,235/75 R15,,Discs,Drums,,,
FORD,Bronco,4.9L 4AT AWD (147 HP),1992,1996,,,,,4916,6,,PETROL,145,108.1,360,,,AUTOMATIC,4,,,,,15,15.7,16.8,13.1,121,,,,4663,2009,1892,2659,,,917,,235/75 R15,,Discs,Drums,,,
FORD,Bronco,4.9L 4MT AWD (122 HP),1980,1986,,,,,4916,6,,PETROL,120,89.7,339,,,MANUAL,4,,,,,,,,,95,,,,4511,1961,1852,2659,,,,,235/75 R15,,Discs,Drums,,,
FORD,Bronco,4.9L 5MT AWD (147 HP),1992,1996,,,,,4916,6,,PETROL,145,108.1,360,,,MANUAL,5,,,,,15,15.7,16.8,13.8,121,,,,4663,2009,1892,2659,,,917,,235/75 R15,,Discs,Drums,,,
