make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
HYUNDAI,Accent,1.6L 6AT FWD (130 HP),2017,,,,,,1591,4,,PETROL,130,96.9,161,,,AUTOMATIC,6,FWD,,,,32,7.4,8.4,6.2,45,,,,4384,1730,1450,2581,1215,,388,,185/65 R15,,Ventilated Discs,Discs,,,
HYUNDAI,Accent,1.6L 6MT FWD (130 HP),2017,,,,,,1591,4,,PETROL,130,96.9,161,,,MANUAL,6,FWD,,,,31,7.6,8.4,6.4,45,,,,4384,1730,1450,2581,1135,,388,,185/65 R15,,Ventilated Discs,Discs,,,
HYUNDAI,Accent,1.6L Smartstream 6MT FWD (120 HP),2017,,,,,,1598,4,,PETROL,118,88.3,153,,,AUTOMATIC,6,FWD,,,,33.1,7.1,8.1,6,45,,,,4384,1730,1450,2581,1135,,388,,185/65 R15,,Ventilated Discs,Discs,,,
HYUNDAI,Accent 3 Doors,1.3L 4AT (84 HP),2003,2006,,,,,1341,4,,PETROL,83,62,117,,,AUTOMATIC,4,FWD,15.9,166,103,29.4,8,10.6,6.5,45,,,,4219,1679,1400,2441,1035,,320,,185/60R14,,Ventilated Discs,Drums,,,
HYUNDAI,Accent 3 Doors,1.3L 5MT (84 HP),2003,2006,,,,,1341,4,,PETROL,83,62,117,,,MANUAL,5,FWD,12.9,173,,37.9,6.2,8.2,5.1,45,,,,4219,1679,1400,2441,1010,,320,,185/60R14,,Ventilated Discs,Drums,,,
HYUNDAI,Accent 3 Doors,1.3L 5MT (86 HP),1999,2003,,,,,1341,4,,PETROL,84,63,114,,,MANUAL,5,FWD,12.5,169,105,36.8,6.4,8.4,5.3,,,,,4201,1669,1400,2441,965,,320,,175/70R13,,Ventilated Discs,Drums,,,
HYUNDAI,Accent 3 Doors,1.4L 4AT FWD (97 HP),2006,2011,,,,,1399,4,,PETROL,95,71,125,,,AUTOMATIC,4,FWD,14.5,167,104,34.1,6.9,9.4,5.5,45,,,,4041,1699,1471,2499,1077,,269,,185/65 R14,,Ventilated Discs,Discs,,,
HYUNDAI,Accent 3 Doors,1.4L 5MT FWD (97 HP),2006,2011,,,,,1399,4,,PETROL,95,71,125,,,MANUAL,5,FWD,12.3,177,110,37.9,6.2,8,5.1,45,,,,4041,1699,1471,2499,1055,,269,,185/65R14,,Ventilated Discs,Discs,,,
HYUNDAI,Accent 3 Doors,1.5L 4AT (90 HP),1999,2003,,,,,1495,4,,PETROL,89,66,132,,,AUTOMATIC,4,FWD,14.2,166,103,33.6,7,10.5,6.3,,,,,4201,1669,1400,2441,994,,320,,175/70R13,,Ventilated Discs,Drums,,,
HYUNDAI,Accent 3 Doors,1.5L 5MT (90 HP),1999,2003,,,,,1495,4,,PETROL,89,66,132,,,MANUAL,5,FWD,11.5,173,,33.6,7,9.4,5.6,,,,,4201,1669,1400,2441,994,,320,,175/70R13,,Ventilated Discs,Drums,,,
