make,model,variant,yearFrom,yearTo,bodyType,doors,seats,engineCode,engineDisplacement,engineCylinders,engineValves,engineFuelType,enginePowerBhp,enginePowerKw,engineTorqueNm,engineAspiration,enginePosition,gearboxType,gears,drivetrain,acceleration0100,topSpeedKph,topSpeedMph,fuelEconomyCombinedMpg,fuelEconomyCombinedL100,fuelEconomyUrbanL100,fuelEconomyExtraUrbanL100,fuelTankLitres,co2Gkm,emissionsStandard,noxMgkm,lengthMm,widthMm,heightMm,wheelbaseMm,weightKg,grossWeightKg,bootLitres,bootLitresMax,tyreFront,tyreRear,brakeFront,brakeRear,batteryKwh,electricRangeKm,chargingKw
TOYOTA,2011Toyota Innova,2.0L 5MT FWD (132 HP),,,,,,,1998,4,,PETROL,131,98,180,,,MANUAL,5,FWD,,,,,,,,,,,,4585,1760,1760,2751,1575,,,,205/65R15,,Ventilated Discs,Drums,,,
TOYOTA,2011Toyota Innova,2.5L 5MT FWD (102 HP),,,,,,,2494,4,,DIESEL,101,75,201,,,MANUAL,5,FWD,,,,,,,,,,,,4585,1760,1760,2751,1675,,,,205/65R15,,Ventilated Discs,Drums,,,
TOYOTA,4Runner,2.4L TD 5MT AWD (90 HP),1990,1995,,,,,2446,4,,DIESEL,89,66,215,,,MANUAL,5,,,145,,19.9,11.8,,,,,,,4491,1689,1750,2629,1800,,490,,215R15,,Ventilated Discs,Drums,,,
TOYOTA,4Runner,2.7L 4x2 4AT (157 HP),2009,2013,,,,,2694,4,,PETROL,157,117,241,,,AUTOMATIC,4,RWD,,,,20,11.8,13.1,10.2,90,,,,4823,1925,1816,2789,1948,,1209,,P265/70 R17,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,3.0L D 4WD 5AT (130 HP),2003,2009,,,,,2982,7,,DIESEL,129,96,287,,,AUTOMATIC,5,,,,,,,,,87,,,,4806,1910,1760,2789,,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,3.0L V6 5MT AWD (145 HP),1990,1995,,,,,2959,6,,PETROL,143,106.6,240,,,MANUAL,5,,15,165,,16.1,14.6,,,,,,,4491,1689,1750,2629,1767,,490,,215R15,,Ventilated Discs,Drums,,,
TOYOTA,4Runner,4.0L V6 2WD 4AT (245 HP),2003,2009,,,,,3956,6,,PETROL,245,182.7,384,,,AUTOMATIC,4,RWD,,,,18,,13.1,11.2,87,,,,4806,1910,1760,2789,1826,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.0L V6 2WD 5AT (236 HP),2003,2009,,,,,3956,6,,PETROL,236,176,361,,,AUTOMATIC,5,RWD,,,,16,,14.7,11.2,87,,,,4806,1910,1760,2789,1835,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.0L V6 4WD 4AT (245 HP),2003,2009,,,,,3956,6,,PETROL,245,182.7,384,,,AUTOMATIC,4,,,,,17,,13.8,11.8,87,,,,4806,1910,1760,2789,1941,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.0L V6 4WD 5AT (236 HP),2003,2009,,,,,3956,6,,PETROL,236,176,361,,,AUTOMATIC,5,,,,,16,,14.7,11.8,87,,,,4806,1910,1760,2789,1950,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.0L V6 4x2 5AT (274 HP),2009,2013,,,,,3956,6,,PETROL,270,201,377,,,AUTOMATIC,5,RWD,,,,19,12.4,13.8,10.2,90,,,,4823,1925,1816,2789,1996,,1209,,P265/70 R17,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.0L V6 4x4 5AT (274 HP),2009,2013,,,,,3956,6,,PETROL,270,201,377,,,AUTOMATIC,5,RWD,,,,19,12.4,13.8,10.7,90,,,,4823,1925,1816,2789,2121,,1209,,P265/70 R17,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.7L V8 2WD 5AT (235 HP),2003,2009,,,,,4667,8,,PETROL,235,175.2,434,,,AUTOMATIC,5,RWD,,,,17,,13.8,12.4,87,,,,4806,1910,1760,2789,1885,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.7L V8 2WD 5AT (260 HP),2003,2009,,,,,4667,8,,PETROL,260,193.9,306,,,AUTOMATIC,5,RWD,,,,15,,15.7,12.4,87,,,,4806,1910,1760,2789,1916,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.7L V8 4WD 5AT (235 HP),2003,2009,,,,,4667,8,,PETROL,235,175.2,434,,,AUTOMATIC,5,,,,,16,,14.7,12.4,87,,,,4806,1910,1760,2789,2000,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,4Runner,4.7L V8 4WD 5AT (260 HP),2003,2009,,,,,4667,8,,PETROL,260,193.9,306,,,AUTOMATIC,5,,,,,14,,16.8,13.8,87,,,,4806,1910,1760,2789,2043,,1195,,265/70 R16,,Ventilated Discs,Ventilated Discs,,,
TOYOTA,AURIS,1.2L Multidrive CVT (116 HP),2018,,,,,,1197,4,,PETROL,114,85.3,185,,,CVT,,FWD,10.5,195,121,45.2,5.2,5.9,4.8,50,,,,4331,1760,1476,2601,1205,,360,,,,Discs,Discs,,,
